Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio
4000EEW_B01_U03_0057,suddenly,all of a sudden: suddenly,[sʌ́dnli],adv.,"If something happens <i>suddenly</i>, it happens quickly and unexpectedly.","I was surprised when my friends <b>suddenly</b> shouted, “Happy birthday!”","I was surprised when my friends {{c1::suddenly}} shouted, “Happy birthday!”","""<img src=""""4000EEW_B01_U03_0057.jpg"""">""",[sound:4000EEW_B01_U03_0057.word.mp3],[sound:4000EEW_B01_U03_0057.definition.mp3],[sound:4000EEW_B01_U03_0057.example.mp3]
4000EEW_B01_U03_0058,suppose,"to think that something is probably true,&nbsp;based&nbsp;on what you know [<b>SYN]</b>&nbsp;presume",[səpóuz],v.,To <i>suppose</i> is to guess.,I <b>suppose</b> I should go home now.,I {{c1::suppose}} I should go home now.,"""<img src=""""4000EEW_B01_U03_0058.jpg"""">""",[sound:4000EEW_B01_U03_0058.word.mp3],[sound:4000EEW_B01_U03_0058.definition.mp3],[sound:4000EEW_B01_U03_0058.example.mp3]
4000EEW_B01_U03_0059,understand,,[Λndərstǽnd],v.,To <i>understand</i> something you need to know what it means.,Henry could not <b>understand</b> the message.,Henry could not {{c1::understand}} the message.,"""<img src=""""4000EEW_B01_U03_0059.jpg"""" />""",[sound:4000EEW_B01_U03_0059.word.mp3],[sound:4000EEW_B01_U03_0059.definition.mp3],[sound:4000EEW_B01_U03_0059.example.mp3]
4000EEW_B01_U03_0060,view,,[vjuː],v.,To <i>view</i> is to look at something.,Michael likes to <b>view</b> himself in the mirror.,Michael likes to {{c1::view}} himself in the mirror.,"""<img src=""""4000EEW_B01_U03_0060.jpg"""" />""",[sound:4000EEW_B01_U03_0060.word.mp3],[sound:4000EEW_B01_U03_0060.definition.mp3],[sound:4000EEW_B01_U03_0060.example.mp3]
4000EEW_B01_U04_0061,appropriate,"correct&nbsp;or&nbsp;suitable&nbsp;for a particular time, situation, or&nbsp;purpose [OPP] inappropriate",[əpróuprièit],adj.,"When a thing is <i>appropriate</i>, it is right or normal.",It’s <b>appropriate</b> to wear a suit when you go to the office.,It’s {{c1::appropriate}} to wear a suit when you go to the office.,"""<img src=""""4000EEW_B01_U04_0061.jpg"""">""",[sound:4000EEW_B01_U04_0061.word.mp3],[sound:4000EEW_B01_U04_0061.definition.mp3],[sound:4000EEW_B01_U04_0061.example.mp3]
4000EEW_B01_U04_0062,avoid,,[əvɔ́id],v.,To <i>avoid</i> something is to stay away from it.,<b>Avoid</b> the broken bottle on the floor.,{{c1::Avoid}} the broken bottle on the floor.,"""<img src=""""4000EEW_B01_U04_0062.jpg"""" />""",[sound:4000EEW_B01_U04_0062.word.mp3],[sound:4000EEW_B01_U04_0062.definition.mp3],[sound:4000EEW_B01_U04_0062.example.mp3]
4000EEW_B01_U04_0063,behave,,[bihéiv],v.,"To <i>behave</i> is to act in a particular way, especially to be good.",She always <b>behaves</b> well when her father is around.,She always {{c1::behaves}} well when her father is around.,"""<img src=""""4000EEW_B01_U04_0063.jpg"""" />""",[sound:4000EEW_B01_U04_0063.word.mp3],[sound:4000EEW_B01_U04_0063.definition.mp3],[sound:4000EEW_B01_U04_0063.example.mp3]
4000EEW_B01_U04_0064,calm,"- relaxed&nbsp;and&nbsp;quiet, not&nbsp;angry,&nbsp;nervous, or&nbsp;upset<br>- if a place, period of time, or situation is calm, there is less activity,&nbsp;trouble&nbsp;etc than there sometimes is, or than there has been recently<br>-&nbsp;a&nbsp;sea,&nbsp;lake&nbsp;etc that is calm is&nbsp;smooth&nbsp;or has only&nbsp;gentle&nbsp;waves",[kɑːm],adj.,"When someone is <i>calm</i>, they do not get excited or upset.",A nice warm bath makes me feel so <b>calm</b>.,A nice warm bath makes me feel so {{c1::calm}}.,"""<img src=""""4000EEW_B01_U04_0064.jpg"""">""",[sound:4000EEW_B01_U04_0064.word.mp3],[sound:4000EEW_B01_U04_0064.definition.mp3],[sound:4000EEW_B01_U04_0064.example.mp3]
4000EEW_B01_U04_0065,concern,"""<b>concern somthing</b> (v.) (also <b>be concerned with somthing</b>): to be about something<br>E: The book is primarily concerned with Soviet-American relations during the Cold War.<br><b>concern yourself with/about something </b>(v.): to take an interest in something<br>E: He didn't concern himself with the details.""",[kənsə́ːrn],n.,<i>Concern</i> is a feeling of worry.,I was filled with <b>concern</b> after reading the newspaper.,I was filled with {{c1::concern}} after reading the newspaper.,"""<img src=""""4000EEW_B01_U04_0065.jpg"""">""",[sound:4000EEW_B01_U04_0065.word.mp3],[sound:4000EEW_B01_U04_0065.definition.mp3],[sound:4000EEW_B01_U04_0065.example.mp3]
4000EEW_B01_U04_0066,content,I’ll be <b>content with</b> a respectable result in TOEFL test,[kəntént],adj.,To be <i>content</i> is to be happy and not want more.,The baby looked very <b>content</b> sitting on the floor.,The baby looked very {{c1::content}} sitting on the floor.,"""<img src=""""4000EEW_B01_U04_0066.jpg"""">""",[sound:4000EEW_B01_U04_0066.word.mp3],[sound:4000EEW_B01_U04_0066.definition.mp3],[sound:4000EEW_B01_U04_0066.example.mp3]
4000EEW_B01_U04_0067,expect,,[ikspékt],v.,"If you <i>expect</i> something to happen, you believe it will happen.",I <b>expect</b> the bus to be here very soon.,I {{c1::expect}} the bus to be here very soon.,"""<img src=""""4000EEW_B01_U04_0067.jpg"""" />""",[sound:4000EEW_B01_U04_0067.word.mp3],[sound:4000EEW_B01_U04_0067.definition.mp3],[sound:4000EEW_B01_U04_0067.example.mp3]
4000EEW_B01_U04_0068,frequently,,[fríːkwəntli],adv.,"When something happens <i>frequently</i>, it happens often.","We meet <b>frequently</b>, either at the beginning or end of the week.","We meet {{c1::frequently}}, either at the beginning or end of the week.","""<img src=""""4000EEW_B01_U04_0068.jpg"""" />""",[sound:4000EEW_B01_U04_0068.word.mp3],[sound:4000EEW_B01_U04_0068.definition.mp3],[sound:4000EEW_B01_U04_0068.example.mp3]
4000EEW_B01_U04_0069,habit,,[hǽbit],n.,A <i>habit</i> is a thing that you do often.,Smoking is a bad <b>habit</b> that can kill you.,Smoking is a bad {{c1::habit}} that can kill you.,"""<img src=""""4000EEW_B01_U04_0069.jpg"""" />""",[sound:4000EEW_B01_U04_0069.word.mp3],[sound:4000EEW_B01_U04_0069.definition.mp3],[sound:4000EEW_B01_U04_0069.example.mp3]
4000EEW_B01_U04_0070,instruct,,[instrʌ́kt],v.,To <i>instruct</i> is to teach.,My teacher <b>instructs</b> us in several subjects.,My teacher {{c1::instructs}} us in several subjects.,"""<img src=""""4000EEW_B01_U04_0070.jpg"""" />""",[sound:4000EEW_B01_U04_0070.word.mp3],[sound:4000EEW_B01_U04_0070.definition.mp3],[sound:4000EEW_B01_U04_0070.example.mp3]
4000EEW_B01_U04_0071,issue,"""a subject or problem that is often&nbsp;<a href=""""https://www.ldoceonline.com/dictionary/discuss"""">discussed</a>&nbsp;or&nbsp;<a href=""""https://www.ldoceonline.com/dictionary/argue"""">argued</a>&nbsp;about, especially a social or political matter that&nbsp;<a href=""""https://www.ldoceonline.com/dictionary/affect"""">affects</a>&nbsp;the interests of a lot of people<br><b>be at issue&nbsp;</b>(n.):&nbsp;to be the most important part of the subject that is being discussed<br>E:&nbsp;What is at issue is whether she was responsible for her actions<br><b>issue from something&nbsp;</b>(v.):&nbsp;(formal) to come out of something<br>E:&nbsp;A weak trembling sound issued from his lips""",[íʃuː],n.,An <i>issue</i> is an important topic.,The men spoke about <b>issues</b> that were important to the people.,The men spoke about {{c1::issues}} that were important to the people.,"""<img src=""""4000EEW_B01_U04_0071.jpg"""">""",[sound:4000EEW_B01_U04_0071.word.mp3],[sound:4000EEW_B01_U04_0071.definition.mp3],[sound:4000EEW_B01_U04_0071.example.mp3]
4000EEW_B01_U04_0072,none,,[nʌn],pron.,<i>None</i> means not any of something.,He spent all his money. There is <b>none</b> left.,He spent all his money. There is {{c1::none}} left.,"""<img src=""""4000EEW_B01_U04_0072.jpg"""" />""",[sound:4000EEW_B01_U04_0072.word.mp3],[sound:4000EEW_B01_U04_0072.definition.mp3],[sound:4000EEW_B01_U04_0072.example.mp3]
4000EEW_B01_U04_0073,patient,,[péiʃənt],adj.,"If people are <i>patient</i>, they don’t become angry or upset easily.",I had to be <b>patient</b> and wait until 5 o’clock to leave.,I had to be {{c1::patient}} and wait until 5 o’clock to leave.,"""<img src=""""4000EEW_B01_U04_0073.jpg"""" />""",[sound:4000EEW_B01_U04_0073.word.mp3],[sound:4000EEW_B01_U04_0073.definition.mp3],[sound:4000EEW_B01_U04_0073.example.mp3]
4000EEW_B01_U04_0074,positive,,[pɑ́zətiv],adj.,"If something is <i>positive</i>, it is good.",She has a <b>positive</b> future ahead of her after finishing college.,She has a {{c1::positive}} future ahead of her after finishing college.,"""<img src=""""4000EEW_B01_U04_0074.jpg"""" />""",[sound:4000EEW_B01_U04_0074.word.mp3],[sound:4000EEW_B01_U04_0074.definition.mp3],[sound:4000EEW_B01_U04_0074.example.mp3]
4000EEW_B01_U04_0075,punish,,[pʌ́niʃ],v.,To <i>punish</i> means to make someone suffer for breaking the rules or laws.,"To <b>punish</b> me, my teacher had me stand in the corner.","To {{c1::punish}} me, my teacher had me stand in the corner.","""<img src=""""4000EEW_B01_U04_0075.jpg"""" />""",[sound:4000EEW_B01_U04_0075.word.mp3],[sound:4000EEW_B01_U04_0075.definition.mp3],[sound:4000EEW_B01_U04_0075.example.mp3]
4000EEW_B01_U04_0076,represent,,[rèprizént],v.,To <i>represent</i> is to speak or act for a person or group.,My lawyer will <b>represent</b> me in court.,My lawyer will {{c1::represent}} me in court.,"""<img src=""""4000EEW_B01_U04_0076.jpg"""" />""",[sound:4000EEW_B01_U04_0076.word.mp3],[sound:4000EEW_B01_U04_0076.definition.mp3],[sound:4000EEW_B01_U04_0076.example.mp3]
4000EEW_B01_U04_0077,shake,,[ʃeik],v.,To <i>shake</i> is to move back and forth or up and down quickly.,"When people <b>shake</b> hands, it usually means they agree.","When people {{c1::shake}} hands, it usually means they agree.","""<img src=""""4000EEW_B01_U04_0077.jpg"""" />""",[sound:4000EEW_B01_U04_0077.word.mp3],[sound:4000EEW_B01_U04_0077.definition.mp3],[sound:4000EEW_B01_U04_0077.example.mp3]
4000EEW_B01_U04_0078,spread,"""<span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><div><div><span style=""""font-weight: bold;"""">spread your wings</span></div></div><span style=""""font-style: inherit; font-weight: inherit;""""><span style=""""font-style: inherit; font-weight: inherit;"""">to become more independent and confident and try new activities, etc.<span style=""""font-style: inherit; font-weight: inherit;""""><span style=""""font-style: italic; font-weight: inherit;""""><span style=""""font-weight: inherit;"""">Going to college gave her the chance to spread her wings.</span></span></span></span></span></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><div><div><span style=""""font-weight: bold;"""">spread the word</span></div></div><span style=""""font-style: inherit; font-weight: inherit;""""><span style=""""font-style: inherit; font-weight: inherit;"""">to tell people about something</span></span></span><span style=""""color: rgb(51, 51, 51); background-color: rgb(255, 255, 255);""""><div><div><span style=""""font-weight: bold;"""">spread yourself too thin</span></div></div><span style=""""font-style: inherit; font-weight: inherit;""""><span style=""""font-style: inherit; font-weight: inherit;"""">to try to do so many different things at the same time that you do not do any of them well</span></span></span><br>""",[spred],v.,To <i>spread</i> is to move out to cover a larger area.,I like to <b>spread</b> butter on my toast.,I like to {{c1::spread}} butter on my toast.,"""<img src=""""4000EEW_B01_U04_0078.jpg"""" />""",[sound:4000EEW_B01_U04_0078.word.mp3],[sound:4000EEW_B01_U04_0078.definition.mp3],[sound:4000EEW_B01_U04_0078.example.mp3]
4000EEW_B01_U04_0079,stroll,,[stroul],v.,To <i>stroll</i> means to walk slowly and calmly.,My dog and I <b>strolled</b> through the park today.,My dog and I {{c1::strolled}} through the park today.,"""<img src=""""4000EEW_B01_U04_0079.jpg"""" />""",[sound:4000EEW_B01_U04_0079.word.mp3],[sound:4000EEW_B01_U04_0079.definition.mp3],[sound:4000EEW_B01_U04_0079.example.mp3]
4000EEW_B01_U04_0080,village,,[vílidʒ],n.,A <i>village</i> is a very small town.,There are only a few houses in my <b>village</b>.,There are only a few houses in my {{c1::village}}.,"""<img src=""""4000EEW_B01_U04_0080.jpg"""" />""",[sound:4000EEW_B01_U04_0080.word.mp3],[sound:4000EEW_B01_U04_0080.definition.mp3],[sound:4000EEW_B01_U04_0080.example.mp3]
4000EEW_B01_U05_0081,active,,[ǽktiv],adj.,"When someone is <i>active</i>, they move a lot or have a lot of things to do.",It is important to be <b>active</b> and not sit around all the time.,It is important to be {{c1::active}} and not sit around all the time.,"""<img src=""""4000EEW_B01_U05_0081.jpg"""" />""",[sound:4000EEW_B01_U05_0081.word.mp3],[sound:4000EEW_B01_U05_0081.definition.mp3],[sound:4000EEW_B01_U05_0081.example.mp3]
4000EEW_B01_U05_0082,adult,,[ədΛlt],n.,An <i>adult</i> is a person who is more than 18 years old.,My mom and dad are <b>adults</b>.,My mom and dad are {{c1::adults}}.,"""<img src=""""4000EEW_B01_U05_0082.jpg"""" />""",[sound:4000EEW_B01_U05_0082.word.mp3],[sound:4000EEW_B01_U05_0082.definition.mp3],[sound:4000EEW_B01_U05_0082.example.mp3]
4000EEW_B01_U05_0083,age,,[eidʒ],n.,<i>Age</i> is how many years someone has lived.,She died at the <b>age</b> of 80.,She died at the {{c1::age}} of 80.,"""<img src=""""4000EEW_B01_U05_0083.jpg"""" />""",[sound:4000EEW_B01_U05_0083.word.mp3],[sound:4000EEW_B01_U05_0083.definition.mp3],[sound:4000EEW_B01_U05_0083.example.mp3]
4000EEW_B01_U05_0084,bad,,[bæd],adj.,"When something is <i>bad</i>, it is not good.",She is unhappy because she had a <b>bad</b> day.,She is unhappy because she had a {{c1::bad}} day.,"""<img src=""""4000EEW_B01_U05_0084.jpg"""" />""",[sound:4000EEW_B01_U05_0084.word.mp3],[sound:4000EEW_B01_U05_0084.definition.mp3],[sound:4000EEW_B01_U05_0084.example.mp3]
4000EEW_B01_U05_0085,balance,,[bǽləns],n.,<i>Balance</i> is when two or more things are equal.,A good <b>balance</b> between work and fun helps keep you healthy.,A good {{c1::balance}} between work and fun helps keep you healthy.,"""<img src=""""4000EEW_B01_U05_0085.jpg"""" />""",[sound:4000EEW_B01_U05_0085.word.mp3],[sound:4000EEW_B01_U05_0085.definition.mp3],[sound:4000EEW_B01_U05_0085.example.mp3]
4000EEW_B01_U05_0086,bike,,[baik],n.,A <i>bike</i> is a vehicle with two wheels powered by a human.,He rides his <b>bike</b> to school every day.,He rides his {{c1::bike}} to school every day.,"""<img src=""""4000EEW_B01_U05_0086.jpg"""" />""",[sound:4000EEW_B01_U05_0086.word.mp3],[sound:4000EEW_B01_U05_0086.definition.mp3],[sound:4000EEW_B01_U05_0086.example.mp3]
4000EEW_B01_U05_0087,choose,<b>there is not much to choose between A and/or B</b>: there is very little difference between two or more things or people,[tʃuːz],v.,To <i>choose</i> is to pick something or make a decision.,I have to <b>choose</b> between taking art classes and sports lessons.,I have to {{c1::choose}} between taking art classes and sports lessons.,"""<img src=""""4000EEW_B01_U05_0087.jpg"""">""",[sound:4000EEW_B01_U05_0087.word.mp3],[sound:4000EEW_B01_U05_0087.definition.mp3],[sound:4000EEW_B01_U05_0087.example.mp3]
4000EEW_B01_U05_0088,doctor,,[dάktər],n.,A <i>doctor</i> is a person who studies medicine and helps sick people.,You should go to the <b>doctor</b> when you are sick.,You should go to the {{c1::doctor}} when you are sick.,"""<img src=""""4000EEW_B01_U05_0088.jpg"""" />""",[sound:4000EEW_B01_U05_0088.word.mp3],[sound:4000EEW_B01_U05_0088.definition.mp3],[sound:4000EEW_B01_U05_0088.example.mp3]
4000EEW_B01_U05_0089,during,,[djúəriŋ],prep.,<i>During</i> an event means while the event was happening.,Did you sleep <b>during</b> the movie?,Did you sleep {{c1::during}} the movie?,"""<img src=""""4000EEW_B01_U05_0089.jpg"""" />""",[sound:4000EEW_B01_U05_0089.word.mp3],[sound:4000EEW_B01_U05_0089.definition.mp3],[sound:4000EEW_B01_U05_0089.example.mp3]
4000EEW_B01_U05_0090,football,,[fʊtbɒːl],n.,<i>Football</i> is a sport with eleven members and an oval-shaped ball.,<b>Football</b> is a popular sport in the United States.,{{c1::Football}} is a popular sport in the United States.,"""<img src=""""4000EEW_B01_U05_0090.jpg"""" />""",[sound:4000EEW_B01_U05_0090.word.mp3],[sound:4000EEW_B01_U05_0090.definition.mp3],[sound:4000EEW_B01_U05_0090.example.mp3]
4000EEW_B01_U05_0091,fun,,[fʌn],adj.,"When something is <i>fun</i>, it is enjoyable.",We had a <b>fun</b> time at the birthday party.,We had a {{c1::fun}} time at the birthday party.,"""<img src=""""4000EEW_B01_U05_0091.jpg"""" />""",[sound:4000EEW_B01_U05_0091.word.mp3],[sound:4000EEW_B01_U05_0091.definition.mp3],[sound:4000EEW_B01_U05_0091.example.mp3]
4000EEW_B01_U05_0092,game,,[geim],n.,A <i>game</i> is an activity where people compete against each other.,Let’s play a board <b>game</b> tonight.,Let’s play a board {{c1::game}} tonight.,"""<img src=""""4000EEW_B01_U05_0092.jpg"""" />""",[sound:4000EEW_B01_U05_0092.word.mp3],[sound:4000EEW_B01_U05_0092.definition.mp3],[sound:4000EEW_B01_U05_0092.example.mp3]
4000EEW_B01_U05_0093,heart,,[hɑːrt],n.,A <i>heart</i> is an organ that keeps the body alive.,My <b>heart</b> beats fast when I am nervous.,My {{c1::heart}} beats fast when I am nervous.,"""<img src=""""4000EEW_B01_U05_0093.jpg"""" />""",[sound:4000EEW_B01_U05_0093.word.mp3],[sound:4000EEW_B01_U05_0093.definition.mp3],[sound:4000EEW_B01_U05_0093.example.mp3]
4000EEW_B01_U05_0094,golf,,[galf],n.,<i>Golf</i> is a sport with clubs and a small white ball.,People play <b>golf</b> in nice weather.,People play {{c1::golf}} in nice weather.,"""<img src=""""4000EEW_B01_U05_0094.jpg"""" />""",[sound:4000EEW_B01_U05_0094.word.mp3],[sound:4000EEW_B01_U05_0094.definition.mp3],[sound:4000EEW_B01_U05_0094.example.mp3]
